10151404381412592_9722803	Eleven billiondy
10151404381412592_9723132	Over 9000!!!
10151404381412592_9723148	never ending like :)
10151404381412592_9726295	Me me me!
10151404381412592_9726328	Hmmmm 4361817663344336118126443346676444456:)
10151404381412592_9735493	Over 9000.
10151404381412592_9736592	over 9000
10151404381412592_9737061	Over NINETHOUSAND
10151404381412592_9739394	Over 9,000!
10151404381412592_9741262	Over 9000!!!!
10151404381412592_9741277	Over 9000
10151404381412592_9743287	i see kevin and dave lol
10151404381412592_9743379	I bet there's like, 10. xD
10151404381412592_9743859	over 9000?
10151404381412592_9744761	Over 10,000!!!!
10151404381412592_9749176	Over 9000!!!!!!!!
10151404381412592_9751249	Over 9000!
10151404381412592_9756718	A little over 1000
10151404381412592_9759080	over 9000?
10151404381412592_9761710	over 9000
10151404381412592_9764698	Over 18.35.70K
10151404381412592_9764764	Over 9000 for sure
10151404381412592_9767708	Over 9000??
10151404381412592_9777415	Hmmm
10151404381412592_9777947	Over 9,000!!!!!
10151404381412592_9781195	Mr gru
10151414564815163_25129291	Yeah first like :D
10151414564815163_25129624	"never get older"
10151414564815163_25129662	Bareera Maryam never get older :)
10151414564815163_25129680	"Never get older"
10151414564815163_25129700	i love Despicable me ^_^
10151414564815163_25129705	It's getting better and better! <3
10151414564815163_25129881	never get older :3
10151414564815163_25129887	i like this film
10151414564815163_25129919	i love agnes
10151414564815163_25129983	Omg... I love Agnes!#pleasenevergetolder
10151414564815163_25130011	I love her !!
10151414564815163_25130103	i love her :)
10151414564815163_25130137	i like this vedeo
10151414564815163_25130156	Krystal Heredia
10151414564815163_25130305	Love me some Agnes !!!
10151414564815163_25130333	hai i love my mom...
10151414564815163_25130345	I love Agnes
10151414564815163_25130455	"Never get older"
10151414564815163_25130501	"Never get older" hahaha love
10151414564815163_25130638	never get older aww
10151414564815163_25131375	"I love you Agnes... Never get older" lmbo
10151414564815163_25131403	love Agnes
10151414564815163_25131529	I love Agnes
10151414564815163_25131945	Jennifer Benavides
10151414564815163_25132172	Kelsey <3
10151414564815163_25132377	Yes Agnus! Never get older :)
10151414564815163_25133122	Never get older xD
10151414564815163_25133296	Hahahaha :p never get older :p
10151414564815163_25133581	never get older!
10151414564815163_25133930	yes agness never get older!
10151414564815163_25135363	sounds more like robot
10151414564815163_25135885	i like it
10151414564815163_25135932	; )(never get older)
10151414564815163_25136159	oh, agnes! >_< please never get older <3
10151414564815163_25136688	Goodnight agnes, never get older
10151414564815163_25137502	Denis Pleskov
10151414564815163_25138535	Love Her!
10151414564815163_25139130	Danielle Dedding
10151414564815163_25139657	 Jennifer Gokoellal 
10151414564815163_25139767	never get older...  :D
10151414564815163_25140683	Never get older
10151414564815163_25141291	Love it,still giggling
10151414564815163_25141485	Never get old Agnes...
10151414564815163_25141588	i love baby :-*
10151414564815163_25144077	Lol "love you, Agnes! Never get older" xD
10151414564815163_25148143	Never get older baby....
10151414564815163_25148401	Mây Mập never get older :)
10151414564815163_25148546	^ everyone i mean.
10151414564815163_25148704	very enjoyable!
10151414564815163_25150431	Agnes Never get older......:)
10151414564815163_25156406	never get older )))
10151414564815163_25156510	Never get older, never!!!
10151414564815163_25158096	Sarah Greenberg Kovensky
10151414564815163_25161174	never get older
10151414564815163_25164142	keren banget akwkkwkw
10151414564815163_25195607	Jennifer Benavides
10151414564815163_25195990	Never get older
10151414564815163_25213102	Agnes, never get older :D
10151414564815163_25217158	I love her.
10151414564815163_25230792	Jennifer Benavides
10151414564815163_25242552	Derek Stevens
10151414564815163_25296661	"good night agnes, never get older" :)
10151414564815163_25310058	Never get older!!!
10151414564815163_25358825	good night agnes, never get older!!!
10151414564815163_25442616	Goodnight Agnes! Never get older :D
10151414564815163_25456802	never get older
10151414564815163_25506972	i swaer i love this
10151414564815163_25518127	never get older love it
10151414564815163_25524737	I like it..... :D
10151414564815163_25527316	Kyle Farmer lol . . .
10151399483992592_9709050	hi gru
10151399483992592_9799347	...I like her readers....
10151398090192592_9679650	Kids will be kids!!
10151398090192592_9679663	Nadette Xuereb
10151398090192592_9679679	I LOVE Gru...love me some "Despicable Me", makes me smile.
10151398090192592_9679683	giggle !
10151398090192592_9679811	Jenny Urgelles
10151398090192592_9679852	best movie..soo far.. <3
10151398090192592_9682996	Fluffy Doggy
10151396923342592_9670443	i dont like hugs..... -____-
10151396923342592_9671902	I'm blind!  I'm BLIIIIND!!!
10151396923342592_9751283	doo i have eney more eyes
10151394152947592_9647203	I love her!!!!
10151394152947592_9647436	Back in kindergarden me an my best friend kyle pinky promised to staay best friend and we still are best friends.
10151394152947592_9647605	Using it forever!
10151394152947592_9648227	Cheyenne Sylvester
10151394152947592_9654656	David Agness! :D
10151394152947592_9662247	i love agnus frum despicable me my sister like super di duper loves her
10151392572057592_25950761	i spotted it flying over Los Angeles!
10151392572057592_25955151	It didn't arrive to egypt yet argggggggggggggggggggggggggggggggggg
10151404405045163_25052948	i love mr gru  <3
10151404405045163_25053076	cøøl
10151404405045163_25053221	i like this film
10151404405045163_25054235	i livein ky!!
10151404405045163_25068712	Cool :) sige sige Eka Balilla :)
10151404405045163_25072915	lol forever
10151404405045163_25127214	Minions are blue & yellow like Simpsons,yrrrrrrrkkkkkk!!!!
10151389928987592_9595332	He looks like summer never ends like he's tired of being board too
10151389928987592_9595429	Amber Milliken
10151389928987592_9596196	Hakol Beseder B'Eli Haseder lol
10151389928987592_9599462	Kelsey Holsapple !!!!
10151389928987592_9599757	Pete babe.. evil minions!
10151389928987592_9600558	beurkkkkkkk
10151389928987592_9610343	Looks like someone that I've seen before
10151389928987592_9616485	Sydney Redell
10151389928987592_9645171	Danielle Deovlet!!
10151389928987592_9975137	My alter ego
10151389530077592_9591768	dns server error
10151378728487592_9495860	mmmmm
10151378728487592_9496465	love Agnes
10151378728487592_9497326	Agnes,I am dying for u!!!
10151378728487592_9504279	Agnes it bended
10151378728487592_9505632	i luv den:-D
10151377560987592_9486133	Thanks for reminding me
10151377560987592_9487008	I never saw.....
10151377560987592_9721100	I've seen it before over Riverside
10151373221772592_9455613	Jagger packed
10151373221772592_9455884	Mike Moyers
10151373221772592_9462937	lyk de movie
10151373221772592_9466386	Isabelle Ng
10151368188367592_9412024	Kristy Rand #nugget <3
10151368188367592_9412032	"Hey didn't i already get you?"
10151368188367592_9412049	bob and kevin
10151368188367592_9412622	Dave♡♥♡
10151368188367592_9413687	Didn't I kiss you before...
10151368188367592_9419458	me 2
10151358900552592_9347066	...i hope
10151357593987592_9337555	i've got ur leg, i've got ur leg :D
10151357593987592_9342516	i got your legggggggg.....i got your leggggggggggggggggg:xxxxxxxxxxxxxxxxxxx so cute
10151357593987592_9344331	i love her
10151357593987592_9350100	I love fry
10151349338522592_9279859	Knocked overt
10151349338522592_9279887	Knocked over!!!
10151349338522592_9280371	knocked over!
10151349338522592_9281635	Knocked overrrrr
10151349338522592_9283260	"Not over"!!!!!!
10151349338522592_9284320	knocked over.........
10151348454597592_9273489	i like it ^_^
10151346803897592_9262051	Cutest kid ever!!
10151346803897592_9262170	I love her !
10151346803897592_9263033	love her...
10151346803897592_9266779	hapi b-day.. elsie..
10151346803897592_9271068	I love her!!!
10151345779257592_25553980	Danielle Dykstra
10151344757337592_9251839	Skyler
10151338374067592_9201464	Horror live
10151338374067592_9201536	For sleeping?
10151338374067592_9201683	For sleeping? Lol.
10151338374067592_9205310	Like sleeping? - Agnes
10151338374067592_9338888	i don't like victor?
10151335750077592_9180470	Fluffy doggy.
10151335750077592_9182886	Love me some GRU
10151335750077592_9189359	i love Agnes <3
10151335750077592_9235387	fluffy...
10151335750077592_9331749	agnes i love her
10151330664562592_9157081	Hmmm -.-
10151330664562592_9158105	mor like dodge dart gun
10151330664562592_9158516	Dr.Nefario smelled 22
10151330420587592_9148073	....love interest..?
10151330420587592_9155954	does gru get a girlfriend omg
10151330420587592_9161783	adsuydhkffknbjihuchdufvhucvyhfvifyiuzifxufydfhdufyyusadhdgjfhjvzhfjfncjhtdsiudfyufhhhhhhhhhhhhhfudsyrfwirur8gsthfufdirkigiugjitgofodroedolo0dr8fu97
10151330213927592_9148382	frkjwserfkjwefgvae
10151329306012592_9139029	Kirsten Allred
10151329306012592_9140372	Bugy fever~
10151329306012592_9172997	gfrg
10151328985102592_9135346	dave flying
10151328985102592_9135451	Looks like some kind of blimp.
10151328985102592_9135778	minion being dragged
10151328985102592_9135926	dr. gru
10151328985102592_9136179	Minion middle
10151328985102592_9136673	A riddle
10151328985102592_9136907	some kind of rocket or missle
10151328985102592_9138154	fis
10151328985102592_9138968	Firefly
10151328985102592_9139710	Dog
10151328985102592_9142056	Dirigible or blimp
10151328985102592_9146957	blit
10151328985102592_9146959	i meant blimp
10151328985102592_9147866	sleeping lil slave guy
10151328985102592_9149145	plane, blimp, syringe???
10151328985102592_9150240	i DONT KNOW
611106885569534_7359105	Double like!
611106885569534_7359444	There backkkkkk,love it!!!
611106885569534_7359936	me la kiero ver mmm
611106885569534_7362918	best ever!!!
611106885569534_7364319	omfg
611106885569534_7382466	never get older ^^
10151326031392592_9117139	Morgan Kennedy
10151326031392592_9117155	i love minions! :D
10151326031392592_9117357	Tetete !
10151326031392592_9117571	Yes! Agnes! David Gilmet
10151326031392592_9119736	Petete!!!
10151326031392592_9128432	bellos
10151325099522592_9112285	ljdfgblgjkdflgfd
10151325099522592_9112820	En 3D
10151325099522592_9112835	David Danner Sr.
10151325099522592_9115688	Diego Landstallker kkkkkkk :p ^^
10151325099522592_9178469	Omg OMG omg ! ^o^ , Lisette Valdez
10151325099522592_9178813	Get some more names!
10151325099522592_9179619	Katelyn Dovenbarger
10151325099522592_9179632	Can i get some amazing people to like Fans of selena gomez
10151325099522592_9180303	Khaled Ismail >> bos shayel eh f el raf eli fo2 :D =))))))
10151325099522592_9194762	Like me? ^.^ Eddie
10151325099522592_9221740	Migs Whiskey
10151315760852592_9064518	Cheyenne Sylvester
10151315760852592_9065983	i have an idea
10151307513457592_9022432	Giselle Snyder Sydney Snyder
10151307513457592_9022476	Still better singer than Nikki  minaj
10151307513457592_9022592	i love me some minions!!
10151307513457592_9033621	that is my little sisters songgggggggggggg
10151292529897592_8970015	knocked over.
10151292529897592_8970863	mmmmm
10151292529897592_8971336	Don't blink.
10151292529897592_8971873	Knocked over!!
10151292529897592_8976028	i jst love dt girl
10151292529897592_8983573	Like ★★★★ Despicable Me 2 ★★★★★
10151292529897592_9001579	i remember :D
10151292529897592_9052557	so fluffy
10151285846802592_8935821	never have never will
10151285846802592_9064248	O like gru from Despicable Me
10151283091422592_8918130	on dvd
10151283091422592_8918375	Asdfghjkl! :D
10151281382522592_8908449	unforgetable..!
10151270760792592_8855871	Danielle Dykstra
10151270760792592_8856260	omggggg i love it
10151267206667592_8837651	i couldn't have said it better my self
10151267206667592_8837654	"I gadet, I gadet... "
10151267206667592_8837922	Never liked valentines day, but I do have a valentine!
10151265607997592_25045361	Kat Hagfors!
10151265607997592_25045477	i loved despicable me
10151259154712592_8802388	i love agnes
10151259154712592_8802423	great film
10151259154712592_8802564	favorite movie ever!!!!
10151259154712592_8803603	big like for agnes <3<3<3<3<3<3
10151259154712592_8810238	Love me some Gru!!
10151259154712592_8958753	Lololol 4ever!!!
10151253604482592_8779282	MINIONSdkjfbhsdgjfhsdf
10151253604482592_8779410	Enter a  <3 for 49ers!
10151253604482592_8779431	49ers</3
10151253604482592_8779432	34 ravens 31 49ers
10151253604482592_8779436	49ers
10151253604482592_8779456	49ers sucks
10151253604482592_8779480	49ers
10151253604482592_8779575	like for rematch.................
10151253604482592_8779635	Jorge
10151253604482592_8779675	49ers
10151253604482592_8781775	Yea Ravens! Well deserved. 
10151253604482592_8782822	petete
10151253604482592_8783509	Go 49ers
10151253604482592_8784156	Ravens suck 49ers better
10151252841017592_8775767	i love it Bom Bi <3
10151252841017592_8781232	fluffy!!!!
10151251799335163_24192276	jksfgskjdhgjkdhgskdjhg <3
10151251799335163_24457875	fifth gets fngdt
10151249833292592_24940997	49ers!!
10151249833292592_24940999	49ers!
10151249833292592_24941001	49ers
10151249833292592_24941018	49ers
10151249833292592_24941025	49ers!!
10151249833292592_24941028	49ers
10151249833292592_24941029	49ers
10151249833292592_24941038	49ers
10151249833292592_24941044	49ers!
10151249833292592_24941052	i like da niner one bettr
10151249833292592_24941064	49ers
10151249833292592_24941082	49ers
10151249833292592_24941083	49ers!!!!
10151249833292592_24941093	Ravens :) I never go for Niners
10151249833292592_24941132	49ers!
10151249833292592_24941172	SF!
10151249833292592_24941191	49ers!! :D
10151249833292592_24941283	49'ers
10151249833292592_24941303	49ers
10151249833292592_24941306	49'ers
10151249833292592_24941319	49ers!
10151249833292592_24941341	49er's baby!!
10151249833292592_24941343	ers
